OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,MasVnrArea,Fireplaces,OpenPorchSF_log,SalePrice
7,1710,2,856,2,2003,2003,196.0,0,4.127134385045092,208500
6,1262,2,1262,2,1976,1976,0.0,1,0.0,181500
7,1786,2,920,2,2001,2002,162.0,1,3.7612001156935615,223500
7,1717,3,756,1,1915,1970,0.0,1,3.58351893845611,140000
8,2198,3,1145,2,2000,2000,350.0,1,4.442651256490317,250000
5,1362,2,796,1,1993,1995,0.0,0,3.4339872044851463,143000
8,1694,2,1686,2,2004,2005,186.0,1,4.060443010546419,307000
7,2090,2,1107,2,1973,1973,240.0,2,5.3230099791384085,200000
7,1774,2,952,2,1931,1950,0.0,2,0.0,129900
5,1077,1,991,1,1939,1950,0.0,2,1.6094379124341005,118000
5,1040,1,1040,1,1965,1965,0.0,0,0.0,129500
9,2324,3,1175,3,2005,2006,286.0,2,3.091042453358316,345000
5,912,1,912,1,1962,1962,0.0,0,0.0,144000
7,1494,3,1494,2,2006,2007,306.0,1,3.5263605246161616,279500
6,1253,1,1253,1,1960,1960,212.0,1,5.365976015021851,157000
7,854,2,832,1,1929,2001,0.0,0,4.727387818712341,132000
6,1004,2,1004,1,1970,1970,180.0,1,0.0,149000
4,1296,2,0,2,1967,1967,0.0,0,0.0,90000
5,1114,2,1114,1,2004,2004,0.0,0,4.634728988229636,159000
5,1339,1,1029,1,1958,1965,0.0,0,0.0,139000
8,2376,3,1158,3,2005,2006,380.0,1,5.043425116919247,325300
7,1108,1,637,1,1930,1950,0.0,1,0.0,139400
8,1795,2,1777,2,2002,2002,281.0,1,5.075173815233827,230000
5,1060,2,1040,1,1976,1976,0.0,1,4.709530201312334,129900
5,1060,1,1060,1,1968,2001,0.0,1,4.51085950651685,154000
8,1600,3,1566,2,2007,2007,640.0,1,4.04305126783455,256300
5,900,2,900,1,1951,2000,0.0,0,3.49650756146648,134800
8,1704,3,1704,2,2007,2008,200.0,1,3.9318256327243257,306000
5,1600,1,1484,1,1957,1997,0.0,2,5.556828061699537,207500
4,520,1,520,1,1927,1950,0.0,0,0.0,68500
4,1317,1,649,1,1920,1950,0.0,0,4.007333185232471,40000
5,1228,1,1228,1,1966,2006,0.0,0,4.189654742026425,149350
8,1234,2,1234,2,2007,2007,0.0,0,3.4339872044851463,179900
5,1700,2,1398,1,1959,1959,0.0,1,3.6635616461296463,165500
9,1561,2,1561,2,2005,2005,246.0,1,3.871201010907891,277500
8,2452,3,1117,3,2004,2005,132.0,1,3.49650756146648,309000
5,1097,2,1097,1,1994,1995,0.0,0,4.174387269895637,145000
5,1297,2,1297,1,1954,1990,650.0,1,0.0,153000
5,1057,1,1057,1,1953,2007,0.0,0,3.970291913552122,109000
4,1152,0,0,2,1955,1955,0.0,0,0.0,82000
6,1324,2,1088,2,1965,1965,101.0,1,4.934473933130692,160000
5,1328,1,1350,1,1959,1959,0.0,2,4.653960350157523,170000
5,884,2,840,1,1983,1983,0.0,0,0.0,144000
5,938,1,938,1,1975,1980,0.0,0,0.0,130250
5,1150,1,1150,1,1959,1959,0.0,0,0.0,141000
9,1752,2,1752,2,2005,2005,412.0,1,4.418840607796598,319900
7,2149,2,1434,1,2003,2003,0.0,1,3.784189633918261,239686
8,1656,3,1656,2,2006,2006,0.0,0,4.990432586778736,249700
4,1452,0,736,2,1920,2008,0.0,0,0.0,113000
5,955,1,955,1,1966,1966,0.0,0,0.0,127000
6,1470,2,794,2,1997,1997,0.0,0,4.330733340286331,177000
6,1176,2,816,1,1934,1950,0.0,1,0.0,114500
5,816,2,816,1,1963,1963,0.0,0,0.0,110000
9,1842,3,1842,0,1981,1987,0.0,1,4.290459441148391,385000
5,1360,2,384,1,1955,1955,0.0,1,3.9318256327243257,130000
6,1425,2,1425,2,1964,1964,272.0,1,0.0,180500
8,1739,2,970,2,1999,2000,456.0,0,0.0,172500
7,1720,2,860,2,2004,2004,0.0,0,4.262679877041316,196500
10,2945,3,1410,3,2006,2006,1031.0,1,0.0,438780
5,780,1,780,1,1972,1972,0.0,0,0.0,124900
6,1158,2,1158,1,2004,2004,0.0,0,3.9318256327243257,158000
5,1111,1,530,1,1920,1996,0.0,0,0.0,101000
8,1370,2,1370,2,2006,2006,178.0,1,3.912023005428146,202500
7,1710,2,576,2,1921,1950,0.0,0,2.4849066497880004,140000
7,2034,2,1057,2,1997,1998,573.0,0,3.610917912644224,219500
8,2473,3,1143,2,2004,2005,344.0,1,5.0238805208462765,317000
7,2207,2,1947,2,1970,1989,287.0,1,0.0,180000
7,1479,2,1453,2,2003,2003,167.0,0,3.4011973816621555,226000
4,747,1,747,1,1945,1950,0.0,0,0.0,80000
7,2287,2,1304,2,1953,1953,0.0,1,3.091042453358316,225000
7,2223,2,2223,2,1973,1973,1115.0,2,0.0,244000
4,845,2,845,1,1982,2006,0.0,0,0.0,129500
7,1718,2,832,2,1998,1998,40.0,1,4.553876891600541,185000
5,1086,2,1086,1,1954,2003,104.0,0,0.0,144900
3,1605,1,840,2,1915,1950,0.0,0,0.0,107400
4,988,1,462,1,1973,1973,0.0,0,4.624972813284271,91000
4,952,1,952,1,1956,1956,0.0,0,0.0,135750
5,1285,1,672,1,1948,2001,0.0,0,0.0,127000
4,1768,0,1768,2,1968,1968,0.0,0,0.0,136500
5,1230,2,440,1,1910,1981,0.0,0,0.0,110000
6,2142,1,896,2,1968,1968,576.0,1,4.290459441148391,193500
6,1337,2,1237,2,1998,1998,443.0,0,5.298317366548036,153500
8,1563,3,1563,2,2007,2007,468.0,1,4.605170185988092,245000
5,1065,2,1065,1,1960,1960,66.0,0,0.0,126500
7,1474,2,384,2,1995,1996,22.0,1,4.290459441148391,168500
8,2417,2,1288,2,1991,1992,284.0,1,4.418840607796598,260000
6,1560,2,684,2,2005,2005,0.0,1,3.6635616461296463,174000
6,1224,2,612,2,2009,2009,76.0,0,5.459585514144159,164500
3,1526,0,1013,1,1915,1982,0.0,0,0.0,85000
4,990,0,990,1,1994,1995,0.0,0,0.0,123600
4,1040,2,0,1,1950,1950,0.0,0,3.4011973816621555,109900
5,1235,2,1235,1,1961,1961,203.0,0,0.0,98600
5,964,2,876,1,1921,2006,0.0,0,0.0,163500
6,2291,2,1214,2,1910,1998,0.0,1,0.0,133900
6,1786,2,824,2,1997,1997,0.0,0,5.093750200806762,204750
6,1470,2,680,2,1993,1993,68.0,1,4.158883083359672,185000
7,1588,2,1588,2,1999,1999,183.0,0,3.4011973816621555,214000
4,960,1,960,1,1965,1965,48.0,0,0.0,94750
5,835,1,458,1,1920,1950,0.0,0,0.0,83000
4,1225,0,950,1,1959,1959,0.0,0,0.0,128950
