OverallQual,GarageCars,KitchenAbvGr,GrLivArea,FullBath,2ndFlrSF,TotalBsmtSF,1stFlrSF,Fireplaces,OpenPorchSF,SalePrice
7,2,1,1710,2,854,856,856,0,61,208500
6,2,1,1262,2,0,1262,1262,1,0,181500
7,2,1,1786,2,866,920,920,1,42,223500
7,3,1,1717,1,756,756,961,1,35,140000
8,3,1,2198,2,1053,1145,1145,1,84,250000
5,2,1,1362,1,566,796,796,0,30,143000
8,2,1,1694,2,0,1686,1694,1,57,307000
7,2,1,2090,2,983,1107,1107,2,204,200000
7,2,2,1774,2,752,952,1022,2,0,129900
5,1,2,1077,1,0,991,1077,2,4,118000
5,1,1,1040,1,0,1040,1040,0,0,129500
9,3,1,2324,3,1142,1175,1182,2,21,345000
5,1,1,912,1,0,912,912,0,0,144000
7,3,1,1494,2,0,1494,1494,1,33,279500
6,1,1,1253,1,0,1253,1253,1,213,157000
7,2,1,854,1,0,832,854,0,112,132000
6,2,1,1004,1,0,1004,1004,1,0,149000
4,2,2,1296,2,0,0,1296,0,0,90000
5,2,1,1114,1,0,1114,1114,0,102,159000
5,1,1,1339,1,0,1029,1339,0,0,139000
8,3,1,2376,3,1218,1158,1158,1,154,325300
7,1,1,1108,1,0,637,1108,1,0,139400
8,2,1,1795,2,0,1777,1795,1,159,230000
5,2,1,1060,1,0,1040,1060,1,110,129900
5,1,1,1060,1,0,1060,1060,1,90,154000
8,3,1,1600,2,0,1566,1600,1,56,256300
5,2,1,900,1,0,900,900,0,32,134800
8,3,1,1704,2,0,1704,1704,1,50,306000
5,1,1,1600,1,0,1484,1600,2,258,207500
4,1,1,520,1,0,520,520,0,0,68500
4,1,1,1317,1,668,649,649,0,54,40000
5,1,1,1228,1,0,1228,1228,0,65,149350
8,2,1,1234,2,0,1234,1234,0,30,179900
5,2,1,1700,1,0,1398,1700,1,38,165500
9,2,1,1561,2,0,1561,1561,1,47,277500
8,3,1,2452,3,1320,1117,1132,1,32,309000
5,2,1,1097,1,0,1097,1097,0,64,145000
5,2,1,1297,1,0,1297,1297,1,0,153000
5,1,1,1057,1,0,1057,1057,0,52,109000
4,0,2,1152,2,0,0,1152,0,0,82000
6,2,1,1324,2,0,1088,1324,1,138,160000
5,1,1,1328,1,0,1350,1328,2,104,170000
5,2,1,884,1,0,840,884,0,0,144000
5,1,1,938,1,0,938,938,0,0,130250
5,1,1,1150,1,0,1150,1150,0,0,141000
9,2,1,1752,2,0,1752,1752,1,82,319900
7,2,1,2149,1,631,1434,1518,1,43,239686
8,3,1,1656,2,0,1656,1656,0,146,249700
4,0,3,1452,2,716,736,736,0,0,113000
5,1,1,955,1,0,955,955,0,0,127000
6,2,1,1470,2,676,794,794,0,75,177000
6,2,1,1176,1,0,816,816,1,0,114500
5,2,1,816,1,0,816,816,0,0,110000
9,3,1,1842,0,0,1842,1842,1,72,385000
5,2,1,1360,1,0,384,1360,1,50,130000
6,2,1,1425,2,0,1425,1425,1,0,180500
8,2,1,1739,2,756,970,983,0,0,172500
7,2,1,1720,2,860,860,860,0,70,196500
10,3,1,2945,3,1519,1410,1426,1,0,438780
5,1,1,780,1,0,780,780,0,0,124900
6,2,1,1158,1,0,1158,1158,0,50,158000
5,1,1,1111,1,530,530,581,0,0,101000
8,2,1,1370,2,0,1370,1370,1,49,202500
7,2,1,1710,2,808,576,902,0,11,140000
7,2,1,2034,2,977,1057,1057,0,36,219500
8,3,1,2473,2,1330,1143,1143,1,151,317000
7,2,1,2207,2,0,1947,2207,1,0,180000
7,2,1,1479,2,0,1453,1479,0,29,226000
4,1,1,747,1,0,747,747,0,0,80000
7,2,1,2287,2,983,1304,1304,1,21,225000
7,2,1,2223,2,0,2223,2223,2,0,244000
4,2,1,845,1,0,845,845,0,0,129500
7,2,1,1718,2,833,832,885,1,94,185000
5,2,1,1086,1,0,1086,1086,0,0,144900
3,1,2,1605,2,765,840,840,0,0,107400
4,1,1,988,1,462,462,526,0,101,91000
4,1,1,952,1,0,952,952,0,0,135750
5,1,1,1285,1,213,672,1072,0,0,127000
4,0,2,1768,2,0,1768,1768,0,0,136500
5,2,1,1230,1,548,440,682,0,0,110000
6,1,1,2142,2,960,896,1182,1,72,193500
6,2,1,1337,2,0,1237,1337,0,199,153500
8,3,1,1563,2,0,1563,1563,1,99,245000
5,2,1,1065,1,0,1065,1065,0,0,126500
7,2,1,1474,2,670,384,804,1,72,168500
8,2,1,2417,2,1116,1288,1301,1,82,260000
6,2,1,1560,2,876,684,684,1,38,174000
6,2,1,1224,2,612,612,612,0,234,164500
3,0,1,1526,1,0,1013,1013,0,0,85000
4,0,1,990,1,0,990,990,0,0,123600
4,2,1,1040,1,0,0,1040,0,29,109900
5,2,1,1235,1,0,1235,1235,0,0,98600
5,2,1,964,1,0,876,964,0,0,163500
6,2,2,2291,2,1031,1214,1260,1,0,133900
6,2,1,1786,2,881,824,905,0,162,204750
6,2,1,1470,2,790,680,680,1,63,185000
7,2,1,1588,2,0,1588,1588,0,29,214000
4,1,1,960,1,0,960,960,0,0,94750
5,1,1,835,1,0,458,835,0,0,83000
4,0,1,1225,1,0,950,1225,0,0,128950
6,2,1,1610,2,0,1610,1610,2,68,205000
6,2,1,1732,2,755,741,977,1,46,178000
5,2,2,1535,2,0,0,1535,0,0,118964
7,3,1,1226,2,0,1226,1226,0,36,198900
7,1,1,1818,1,592,1040,1226,2,0,169500
8,2,1,1992,2,939,1053,1053,1,45,250000
4,1,1,1047,1,0,641,1047,0,0,100000
5,1,1,789,1,0,789,789,0,0,115000
5,0,1,1517,2,520,793,997,0,0,115000
6,2,1,1844,2,0,1844,1844,1,122,190000
6,1,1,1855,2,639,994,1216,0,0,136900
7,2,1,1430,2,656,384,774,1,0,180000
7,3,1,2696,2,1414,1264,1282,1,184,383970
6,2,1,2259,2,0,1809,2259,2,120,217000
6,1,1,2320,2,884,1028,1436,1,0,259500
6,2,1,1458,2,729,729,729,1,32,176000
5,1,1,1092,1,0,1092,1092,1,20,139000
5,2,1,1125,1,0,1125,1125,0,64,155000
7,3,1,3222,3,1523,1673,1699,2,0,320000
6,2,1,1456,2,728,728,728,1,24,163990
6,2,1,988,1,0,938,988,2,130,180000
4,1,1,1123,1,351,732,772,0,0,100000
6,1,1,1080,1,0,1080,1080,0,0,136000
6,2,1,1199,2,0,1199,1199,0,63,153900
6,2,1,1586,2,0,1362,1586,1,0,181000
6,0,1,754,1,0,520,520,0,0,84500
6,2,1,958,2,0,1078,958,1,205,128000
5,0,1,840,1,0,672,840,1,0,87000
6,2,1,1348,1,688,660,660,1,108,155000
5,2,1,1053,1,0,1008,1053,0,80,150000
7,2,1,2157,2,941,924,1216,2,66,226000
6,2,1,2054,2,1032,992,1022,1,48,244000
5,2,1,1327,1,0,1063,1327,0,0,150750
8,2,1,1296,2,0,1267,1296,0,25,220000
5,2,1,1721,2,0,1461,1721,1,96,180000
7,2,1,1682,2,0,1304,1682,1,0,174000
5,1,1,1214,2,0,1214,1214,1,111,143000
7,3,2,1959,3,0,1907,1959,0,0,171000
8,3,1,1852,2,848,1004,1004,2,106,230000
6,2,1,1764,2,836,928,928,0,99,231500
4,0,1,864,1,0,864,864,1,0,115000
7,2,1,1734,2,0,1734,1734,0,24,260000
5,2,1,1385,2,475,910,910,0,0,166000
7,2,1,1501,2,0,1490,1501,0,29,204000
5,2,2,1728,2,0,1728,1728,0,0,125000
6,2,1,1709,2,739,970,970,0,40,130000
5,1,1,875,1,0,715,875,0,0,105000
7,2,1,2035,2,1151,884,884,1,48,222500
7,0,1,1080,1,0,1080,1080,0,0,141000
5,1,1,1344,1,448,896,896,0,114,115000
5,2,1,969,1,0,969,969,0,0,122000
8,3,1,1710,2,0,1710,1710,1,102,372402
6,2,1,1993,2,896,825,1097,1,66,190000
6,2,1,1252,1,0,1602,1252,1,0,235000
6,1,1,1200,1,0,1200,1200,0,0,125000
6,0,1,1096,1,524,572,572,0,8,79000
5,2,1,1040,1,0,0,1040,0,0,109500
8,3,1,1968,2,1194,774,774,1,75,269500
7,2,1,1947,2,956,991,991,1,136,254900
7,2,1,2462,2,1070,1392,1392,1,132,320000
6,2,1,1232,2,0,1232,1232,0,0,162500
9,3,1,2668,2,1096,1572,1572,2,0,412500
7,2,1,1541,2,0,1541,1541,1,70,220000
4,0,1,882,1,0,882,882,0,0,103200
6,1,1,1616,2,467,1149,1149,0,0,152000
5,0,2,1355,2,547,644,808,0,0,127500
5,1,1,1867,1,0,1617,1867,3,0,190000
8,3,1,2161,1,551,1582,1610,1,120,325624
7,2,1,1720,2,880,840,840,1,48,183500
8,2,1,1707,2,0,1686,1707,1,64,228000
5,2,1,1382,1,0,720,854,0,0,128500
6,2,1,1656,1,0,1080,1656,2,62,215000
7,2,1,1767,2,703,1064,1064,1,35,239000
6,2,1,1362,1,0,1362,1362,1,20,163000
6,2,1,1651,2,0,1606,1651,1,0,184000
6,2,1,2158,2,0,1202,2158,1,29,243000
6,2,1,2060,2,896,1151,1164,1,228,211000
5,2,1,1920,2,668,1052,1252,1,0,172500
9,3,1,2234,2,0,2216,2234,1,60,501837
